,tp,t_p,tp_,t_p_
0,0.6425000000000001,0.5425,-0.55,0.609
1,-0.048,0.546,-0.796,0.5964999999999998
2,-0.686,0.5705,-0.4625,0.6375000000000001
3,-0.7675,0.5209999999999999,0.2435,0.6179999999999999
4,-0.3334999999999999,0.5569999999999999,0.76,0.6095
5,0.4034999999999999,0.6425000000000001,0.786,0.6
6,0.8895,0.623,0.096,0.6555
7,0.6444999999999999,0.6495000000000001,-0.643,0.6234999999999999
8,0.6259999999999999,0.5315,-0.5265,0.6579999999999999
